lambda,sigma,s1,s2,s3,sparsity_HF_block1,sparsity_HF_block2,sparsity_HF_block3,Adequacy_data_HF,meanVarCommuHFBlock1,meanVarCommuHFBlock2,meanVarCommuHFBlock3,sparsity_LF_block1,sparsity_LF_block2,sparsity_LF_block3,Adequacy_data_LF,meanVarCommuLFBlock1,meanVarCommuLFBlock2,meanVarCommuLFBlock3
0.9,0.9,2.23606797749979,2.4,1.4,14,3,12,0.15917764675829488,0.042182428204224964,0.029211176897595836,0.0488888888888889,14,3,12,0.15922063015435917,0.04218918482703246,0.028810610721314397,0.04888888888888889
0.9998,0.9,2.23606797749979,2.4,1.4,12,0,11,0.16812492140048763,0.0450767511786413,0.14813680766599135,0.05066101966039783,14,3,12,0.15922063015435917,0.04218918482703246,0.0288106107213144,0.04888888888888889
0,0.3,2,2.9,1.4,15,0,12,0.14917719945826544,0.04247162254763609,0.014145338190500593,0.048888888888888905,15,0,12,0.14917719945826544,0.04247162254763609,0.014145338190500593,0.048888888888888905
0.5,0.3,2,2.9,1.4,15,0,12,0.14917251766773482,0.04247074900034123,0.014161247270387393,0.04888888888888889,15,0,12,0.14917719945826544,0.04247162254763609,0.014145338190500593,0.048888888888888905
0.9,0.3,2,2.9,1.4,15,0,12,0.14913599576607234,0.042463784559562796,0.014288701538746326,0.04888888888888889,15,0,12,0.14917719945826546,0.04247162254763612,0.014145338190500605,0.04888888888888889
0.9998,0.3,2,2.9,1.4,14,0,12,0.19042027601163042,0.043374942858299285,0.12796585727711135,0.04978167528395723,15,0,12,0.14917719945826544,0.042471622547636104,0.014145338190500588,0.04888888888888889
0,0.5,2,2.9,1.4,15,0,12,0.14917719945826544,0.04247162254763609,0.014145338190500593,0.048888888888888905,15,0,12,0.14917719945826544,0.04247162254763609,0.014145338190500593,0.048888888888888905
0.5,0.5,2,2.9,1.4,15,0,12,0.14917251766773482,0.04247074900034123,0.014161247270387393,0.04888888888888889,15,0,12,0.14917719945826544,0.04247162254763609,0.014145338190500593,0.048888888888888905
0.9,0.5,2,2.9,1.4,15,0,12,0.14913599576607234,0.042463784559562796,0.014288701538746326,0.04888888888888889,15,0,12,0.14917719945826546,0.04247162254763612,0.014145338190500605,0.04888888888888889
0.9998,0.5,2,2.9,1.4,14,0,12,0.19042027601163042,0.043374942858299285,0.12796585727711135,0.04978167528395723,15,0,12,0.14917719945826544,0.042471622547636104,0.014145338190500588,0.04888888888888889
0,0.9,2,2.9,1.4,15,0,12,0.14917719945826544,0.04247162254763609,0.014145338190500593,0.048888888888888905,15,0,12,0.14917719945826544,0.04247162254763609,0.014145338190500593,0.048888888888888905
0.5,0.9,2,2.9,1.4,15,0,12,0.14917251766773482,0.04247074900034123,0.014161247270387393,0.04888888888888889,15,0,12,0.14917719945826544,0.04247162254763609,0.014145338190500593,0.048888888888888905
0.9,0.9,2,2.9,1.4,15,0,12,0.14913599576607234,0.042463784559562796,0.014288701538746326,0.04888888888888889,15,0,12,0.14917719945826546,0.04247162254763612,0.014145338190500605,0.04888888888888889
0.9998,0.9,2,2.9,1.4,14,0,12,0.19042027601163042,0.043374942858299285,0.12796585727711135,0.04978167528395723,15,0,12,0.14917719945826544,0.042471622547636104,0.014145338190500588,0.04888888888888889
